Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0402_1005Metric",95.758000,-59.690000,90.000000,top
"C2","100n","C_0402_1005Metric",88.646000,-63.246000,0.000000,top
"C3","100n","C_0402_1005Metric",106.426000,-59.916000,90.000000,top
"C4","100n","C_0402_1005Metric",99.369000,-63.242000,0.000000,top
"C5","C","C_0402_1005Metric",88.346000,-37.969000,180.000000,top
"C6","C","C_0402_1005Metric",91.619000,-45.523000,0.000000,top
"C7","390n","C_0402_1005Metric",89.681000,-54.184000,0.000000,top
"C8","390n","C_0402_1005Metric",99.835000,-54.152000,0.000000,top
"C9","390n","C_0402_1005Metric",92.215000,-49.019000,90.000000,top
"C10","390n","C_0402_1005Metric",103.738000,-49.004000,90.000000,top
"C11","390n","C_0402_1005Metric",96.180000,-51.897000,0.000000,top
"C12","390n","C_0402_1005Metric",106.848000,-53.137000,0.000000,top
"C13","10n","C_0402_1005Metric",120.940000,-75.684000,90.000000,top
"C14","10n","C_0402_1005Metric",115.432000,-75.674000,90.000000,top
"C15","10uF","C_0402_1005Metric",118.021000,-69.776000,0.000000,top
"C16","100nF","C_0402_1005Metric",122.129000,-69.598000,180.000000,top
"D1","D_Schottky","D_0402_1005Metric",124.058000,-75.634000,-90.000000,top
"D2","D_Schottky","D_0402_1005Metric",112.506000,-75.610500,90.000000,top
"FID1","Fiducial","Fiducial_0.5mm_Mask1.5mm",98.181000,-36.843000,0.000000,top
"FID2","Fiducial","Fiducial_0.5mm_Mask1.5mm",130.994000,-24.529000,0.000000,top
"FID3","Fiducial","Fiducial_0.5mm_Mask1.5mm",109.655000,-72.803000,0.000000,top
"IC1","OPA2890IDGST","SOP50P490X110-10N",91.409000,-51.828000,0.000000,top
"IC2","OPA2890IDGST","SOP50P490X110-10N",102.108000,-51.816000,0.000000,top
"R1","100","R_0402_1005Metric",88.390000,-56.642000,0.000000,top
"R4","100","R_0402_1005Metric",94.488000,-56.642000,0.000000,top
"R5","100","R_0402_1005Metric",99.060000,-56.642000,0.000000,top
"R8","100","R_0402_1005Metric",105.156000,-56.642000,0.000000,top
"R9","10K","R_0402_1005Metric",92.242000,-41.752000,-90.000000,top
"R10","390K","R_0402_1005Metric",90.321000,-37.996000,0.000000,top
"R11","390k","R_0402_1005Metric",89.301000,-36.883000,0.000000,top
"R12","33k","R_0402_1005Metric",92.657000,-54.655000,90.000000,top
"R13","33k","R_0402_1005Metric",104.489000,-54.996000,90.000000,top
"R14","56k","R_0402_1005Metric",91.569000,-54.637000,-90.000000,top
"R15","56k","R_0402_1005Metric",105.565000,-55.011000,-90.000000,top
"R16","10k","R_0402_1005Metric",89.654000,-48.592000,180.000000,top
"R17","10k","R_0402_1005Metric",101.035000,-48.503000,180.000000,top
"R18","10k","R_0402_1005Metric",96.169000,-50.833000,0.000000,top
"R19","10k","R_0402_1005Metric",106.832000,-51.039000,0.000000,top
"R20","10k","R_0402_1005Metric",91.178000,-49.009000,90.000000,top
"R21","10k","R_0402_1005Metric",102.626000,-49.012000,90.000000,top
"R22","10k","R_0402_1005Metric",96.196000,-52.946000,180.000000,top
"R23","10k","R_0402_1005Metric",106.832000,-52.089000,180.000000,top
"R24","5k8","R_0402_1005Metric",93.286000,-49.005000,90.000000,top
"R25","5k8","R_0402_1005Metric",104.807000,-48.983000,90.000000,top
"R26","33k","R_0402_1005Metric",94.881000,-54.760000,90.000000,top
"R27","10k","R_0402_1005Metric",94.835000,-48.485000,0.000000,top
"R28","33k","R_0402_1005Metric",101.770000,-55.212000,0.000000,top
"R29","10k","R_0402_1005Metric",106.350000,-48.506000,0.000000,top
"R30","56k","R_0402_1005Metric",95.993000,-54.738000,-90.000000,top
"R31","56k","R_0402_1005Metric",101.776000,-54.153000,180.000000,top
"U1","AD8620","MSOP-8_3x3mm_P0.65mm",89.947000,-41.765500,90.000000,top
