"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"FID1,FID2,FID3";"Fiducial_0.5mm_Mask1.5mm";3;"Fiducial";;;
2;"R9";"R_0402_1005Metric";1;"10K";;;
3;"U2,U3";"INA121UAE4";2;"INA121UAE4";;;
4;"D2,D1";"D_0402_1005Metric";2;"D_Schottky";;;
5;"R11";"R_0402_1005Metric";1;"390k";;;
6;"C12,C7,C11,C8,C9,C10";"C_0402_1005Metric";6;"390n";;;
7;"U1";"MSOP-8_3x3mm_P0.65mm";1;"AD8620";;;
8;"J1,J2";"PinSocket_1x19_P2.54mm_Vertical";2;"Conn_01x19_Socket";;;
9;"R25,R24";"R_0402_1005Metric";2;"5k8";;;
10;"R31,R15,R14,R30";"R_0402_1005Metric";4;"56k";;;
11;"C14,C13";"C_0402_1005Metric";2;"10n";;;
12;"IC1,IC2";"SOP50P490X110-10N";2;"OPA2890IDGST";;;
13;"R10";"R_0402_1005Metric";1;"390K";;;
14;"R16,R23,R29,R17,R19,R21,R22,R27,R18,R20";"R_0402_1005Metric";10;"10k";;;
15;"R12,R13,R28,R26";"R_0402_1005Metric";4;"33k";;;
16;"U4";"TO-220F-3_Horizontal_TabDown";1;"L7805";;;
17;"J3,J4";"Jack_3.5mm_CUI_SJ-3523-SMT_Horizontal";2;"AudioJack3";;;
18;"C16";"C_0402_1005Metric";1;"100nF";;;
19;"C4,C2,C1,C3";"C_0402_1005Metric";4;"100n";;;
20;"R8,R5,R4,R1";"R_0402_1005Metric";4;"100";;;
21;"BT2,BT3,BT1,BT4";"PinHeader_1x02_P1.00mm_Horizontal";4;"Battery_Cell";;;
22;"C5,C6";"C_0402_1005Metric";2;"C";;;
23;"TP2,TP3,TP1,TP4";"TestPoint_Pad_1.0x1.0mm";4;"TestPoint";;;
24;"J5";"PinHeader_1x10_P1.00mm_Vertical";1;"Conn_01x10_Pin";;;
25;"C15";"C_0402_1005Metric";1;"10uF";;;
