Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BT1,Battery_Cell,PinHeader_1x02_P1.00mm_Horizontal,116.002,-79.023,-90.0,top
BT2,Battery_Cell,PinHeader_1x02_P1.00mm_Horizontal,123.519,-79.05,-90.0,top
BT3,Battery_Cell,PinHeader_1x02_P1.00mm_Horizontal,120.368,-79.039,-90.0,top
BT4,Battery_Cell,PinHeader_1x02_P1.00mm_Horizontal,112.94,-79.026,-90.0,top
C1,100n,C_0402_1005Metric,95.758,-59.69,90.0,top
C2,100n,C_0402_1005Metric,88.646,-63.246,0.0,top
C3,100n,C_0402_1005Metric,106.426,-59.916,90.0,top
C4,100n,C_0402_1005Metric,99.369,-63.242,0.0,top
C5,C,C_0402_1005Metric,88.346,-37.969,180.0,top
C6,C,C_0402_1005Metric,91.619,-45.523,0.0,top
C7,390n,C_0402_1005Metric,89.681,-54.184,0.0,top
C8,390n,C_0402_1005Metric,99.835,-54.152,0.0,top
C9,390n,C_0402_1005Metric,92.215,-49.019,90.0,top
C10,390n,C_0402_1005Metric,103.738,-49.004,90.0,top
C11,390n,C_0402_1005Metric,96.18,-51.897,0.0,top
C12,390n,C_0402_1005Metric,106.848,-53.137,0.0,top
C13,10n,C_0402_1005Metric,120.94,-75.684,90.0,top
C14,10n,C_0402_1005Metric,115.432,-75.674,90.0,top
C15,10uF,C_0402_1005Metric,118.021,-69.776,0.0,top
C16,100nF,C_0402_1005Metric,122.129,-69.598,180.0,top
D1,D_Schottky,D_0402_1005Metric,124.058,-75.634,-90.0,top
D2,D_Schottky,D_0402_1005Metric,112.506,-75.6105,90.0,top
FID1,Fiducial,Fiducial_0.5mm_Mask1.5mm,98.181,-36.843,0.0,top
FID2,Fiducial,Fiducial_0.5mm_Mask1.5mm,130.994,-24.529,0.0,top
FID3,Fiducial,Fiducial_0.5mm_Mask1.5mm,109.655,-72.803,0.0,top
IC1,OPA2890IDGST,SOP50P490X110-10N,91.409,-51.828,0.0,top
IC2,OPA2890IDGST,SOP50P490X110-10N,102.108,-51.816,0.0,top
J1,Conn_01x19_Socket,PinSocket_1x19_P2.54mm_Vertical,136.375,-44.46,180.0,top
J2,Conn_01x19_Socket,PinSocket_1x19_P2.54mm_Vertical,111.227,-44.52,0.0,top
J3,AudioJack3,Jack_3.5mm_CUI_SJ-3523-SMT_Horizontal,102.616,-72.898,180.0,top
J4,AudioJack3,Jack_3.5mm_CUI_SJ-3523-SMT_Horizontal,90.678,-72.898,180.0,top
J5,Conn_01x10_Pin,PinHeader_1x10_P1.00mm_Vertical,86.724,-26.157,180.0,top
R1,100,R_0402_1005Metric,88.39,-56.642,0.0,top
R4,100,R_0402_1005Metric,94.488,-56.642,0.0,top
R5,100,R_0402_1005Metric,99.06,-56.642,0.0,top
R8,100,R_0402_1005Metric,105.156,-56.642,0.0,top
R9,10K,R_0402_1005Metric,92.242,-41.752,-90.0,top
R10,390K,R_0402_1005Metric,90.321,-37.996,0.0,top
R11,390k,R_0402_1005Metric,89.301,-36.883,0.0,top
R12,33k,R_0402_1005Metric,92.657,-54.655,90.0,top
R13,33k,R_0402_1005Metric,104.489,-54.996,90.0,top
R14,56k,R_0402_1005Metric,91.569,-54.637,-90.0,top
R15,56k,R_0402_1005Metric,105.565,-55.011,-90.0,top
R16,10k,R_0402_1005Metric,89.654,-48.592,180.0,top
R17,10k,R_0402_1005Metric,101.035,-48.503,180.0,top
R18,10k,R_0402_1005Metric,96.169,-50.833,0.0,top
R19,10k,R_0402_1005Metric,106.832,-51.039,0.0,top
R20,10k,R_0402_1005Metric,91.178,-49.009,90.0,top
R21,10k,R_0402_1005Metric,102.626,-49.012,90.0,top
R22,10k,R_0402_1005Metric,96.196,-52.946,180.0,top
R23,10k,R_0402_1005Metric,106.832,-52.089,180.0,top
R24,5k8,R_0402_1005Metric,93.286,-49.005,90.0,top
R25,5k8,R_0402_1005Metric,104.807,-48.983,90.0,top
R26,33k,R_0402_1005Metric,94.881,-54.76,90.0,top
R27,10k,R_0402_1005Metric,94.835,-48.485,0.0,top
R28,33k,R_0402_1005Metric,101.77,-55.212,0.0,top
R29,10k,R_0402_1005Metric,106.35,-48.506,0.0,top
R30,56k,R_0402_1005Metric,95.993,-54.738,-90.0,top
R31,56k,R_0402_1005Metric,101.776,-54.153,180.0,top
U1,AD8620,MSOP-8_3x3mm_P0.65mm,89.947,-41.7655,90.0,top
U2,INA121UAE4,INA121UAE4,91.44,-59.944,0.0,top
U3,INA121UAE4,INA121UAE4,102.108,-59.944,0.0,top
U4,L7805,TO-220F-3_Horizontal_TabDown,120.089,-58.709,0.0,top
